policy_id,customer_age,property_value,premium_amount,property_location,construction_type,fire_alarm_installed,claim_amount,is_fraud
1,34,1716,30.96,Suburban,Beton,Ya,0.0,0
2,45,2505,18.36,Urban,Beton,Tidak,850.65,0
3,67,3623,27.36,Rural,Beton,Tidak,0.0,0
4,44,2034,26.87,Urban,Beton,Ya,0.0,0
5,27,3121,52.87,Suburban,Beton,Ya,0.0,0
6,22,4342,63.73,Rural,Beton,Ya,0.0,0
7,68,4950,54.42,Urban,Campuran,Ya,0.0,0
8,67,4075,66.44,Rural,Beton,Tidak,0.0,0
9,41,719,5.91,Rural,Campuran,Ya,0.0,0
10,23,2843,43.66,Suburban,Beton,Tidak,1855.83,0
11,75,2435,26.11,Urban,Kayu,Ya,870.27,0
12,58,3220,23.6,Rural,Campuran,Tidak,0.0,0
13,25,3527,56.41,Suburban,Beton,Ya,0.0,0
14,48,274,4.98,Urban,Campuran,Ya,0.0,0
15,50,3289,23.75,Urban,Beton,Ya,0.0,0
16,52,3436,37.17,Suburban,Beton,Ya,0.0,0
17,41,3253,47.3,Suburban,Beton,Ya,0.0,0
18,30,1820,34.19,Suburban,Beton,Ya,1170.65,1
19,42,4828,69.96,Suburban,Beton,Tidak,0.0,0
20,51,3871,46.1,Urban,Beton,Ya,3761.18,1
21,73,4014,63.74,Urban,Kayu,Tidak,0.0,0
22,75,2102,34.7,Suburban,Kayu,Tidak,0.0,0
23,66,3402,30.8,Urban,Kayu,Ya,0.0,0
24,42,4949,64.57,Rural,Beton,Ya,0.0,0
25,38,1598,18.23,Suburban,Kayu,Ya,0.0,0
26,18,4155,78.21,Suburban,Beton,Tidak,0.0,0
27,53,1783,28.13,Urban,Beton,Ya,0.0,0
28,57,2994,51.76,Urban,Kayu,Tidak,0.0,0
29,54,3561,40.04,Suburban,Campuran,Tidak,0.0,0
30,27,4945,94.04,Suburban,Beton,Tidak,0.0,0
31,42,1615,28.48,Urban,Beton,Tidak,0.0,0
32,29,1988,33.25,Suburban,Campuran,Tidak,0.0,0
33,48,3335,48.97,Urban,Beton,Ya,2721.3,1
34,45,1876,24.35,Rural,Campuran,Ya,0.0,0
35,74,4690,90.75,Suburban,Kayu,Tidak,0.0,0
36,50,2946,42.75,Urban,Kayu,Ya,0.0,0
37,49,3480,34.74,Rural,Kayu,Tidak,0.0,0
38,57,2595,49.13,Rural,Beton,Ya,0.0,0
39,41,863,6.13,Urban,Campuran,Tidak,0.0,0
40,58,931,11.87,Rural,Beton,Ya,0.0,0
41,74,559,6.9,Suburban,Beton,Ya,0.0,0
42,71,3327,24.29,Suburban,Kayu,Ya,0.0,0
43,71,760,10.07,Urban,Beton,Tidak,0.0,0
44,53,3971,45.83,Suburban,Kayu,Tidak,2568.77,1
45,65,792,8.55,Urban,Beton,Ya,0.0,0
46,50,2336,15.74,Suburban,Kayu,Ya,0.0,0
47,32,704,9.99,Suburban,Kayu,Ya,0.0,0
48,54,2614,14.67,Suburban,Beton,Ya,0.0,0
49,39,4390,63.96,Urban,Kayu,Tidak,0.0,0
50,58,3772,55.27,Suburban,Campuran,Ya,0.0,0
51,25,2114,22.96,Rural,Beton,Ya,0.0,0
52,37,4405,46.99,Urban,Kayu,Ya,0.0,0
53,24,2033,33.42,Rural,Campuran,Ya,0.0,0
54,24,4047,68.67,Urban,Campuran,Ya,0.0,0
55,51,4264,57.82,Urban,Campuran,Tidak,0.0,0
56,63,2371,21.02,Suburban,Kayu,Ya,0.0,0
57,55,4926,59.74,Suburban,Kayu,Ya,2896.41,1
58,57,3363,44.22,Suburban,Kayu,Ya,0.0,0
59,21,590,7.11,Rural,Beton,Ya,0.0,0
60,23,3768,74.87,Urban,Campuran,Ya,0.0,0
61,61,4295,79.54,Rural,Campuran,Ya,0.0,0
62,30,3855,71.54,Rural,Beton,Ya,0.0,0
63,49,4847,29.69,Suburban,Kayu,Ya,0.0,0
64,37,4730,29.8,Suburban,Kayu,Ya,0.0,0
65,74,680,10.57,Rural,Beton,Ya,0.0,0
66,22,564,7.34,Suburban,Beton,Tidak,0.0,0
67,69,1990,14.94,Suburban,Beton,Ya,0.0,0
68,44,2170,10.92,Suburban,Beton,Ya,0.0,0
69,41,2866,22.42,Rural,Beton,Ya,0.0,0
70,47,4966,78.51,Suburban,Kayu,Ya,0.0,0
71,31,3408,57.88,Urban,Campuran,Tidak,0.0,0
72,40,1629,11.32,Rural,Kayu,Tidak,0.0,0
73,52,3580,20.96,Urban,Kayu,Tidak,0.0,0
74,28,1188,14.16,Rural,Kayu,Ya,0.0,0
75,66,2139,41.3,Suburban,Kayu,Ya,0.0,0
76,38,1703,8.57,Rural,Campuran,Tidak,1201.82,0
